Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDF31,12.773,Regular,0.0,Frozen Foods,252.327,OUT045,2002,,Tier 2,Supermarket Type1,2469.2826
FDF31,12.773,Regular,0.093719,Frozen Foods,252.327,OUT046,1997,Small,Tier 1,Supermarket Type1,3683.9395
FDF31,12.773,Regular,0.150882,Frozen Foods,252.327,OUT049,1999,Medium,Tier 1,Supermarket Type1,2776.2831
FDG32,9.039,LF,0.0,Canned,153.8787,OUT010,1998,,Tier 3,Grocery Store,443.2524
FDG32,9.039,LF,0.101463,Canned,153.8787,OUT017,2007,,Tier 2,Supermarket Type1,2426.1261
FDG32,9.039,LF,0.071136,Canned,153.8787,OUT018,2009,Medium,Tier 3,Supermarket Type2,1943.5886
FDG32,9.039,LF,0.08857,Canned,153.8787,OUT035,2004,Small,Tier 2,Supermarket Type1,2499.6295
FDG32,,LF,0.066376,Canned,153.8787,OUT046,1997,Small,Tier 1,Supermarket Type1,2695.8452
FDG32,9.039,LF,0.119741,Canned,153.8787,OUT049,1999,Medium,Tier 1,Supermarket Type1,2724.7458
FDH33,4.867,Low Fat,0.03915,Meat,242.4939,OUT013,1987,High,Tier 3,Supermarket Type1,2951.7658
FDH33,4.867,Low Fat,0.027303,Meat,242.4939,OUT018,2009,Medium,Tier 3,Supermarket Type2,3598.8049
FDH33,4.867,Low Fat,0.032518,Meat,242.4939,OUT019,1985,Small,Tier 1,Grocery Store,929.4333
FDH33,4.867,Low Fat,0.046379,Meat,242.4939,OUT045,2002,,Tier 2,Supermarket Type1,2461.9042
FDH33,4.867,Low Fat,0.044381,Meat,242.4939,OUT046,1997,Small,Tier 1,Supermarket Type1,3440.1654
FDI34,6.346,low fat,0.174848,Breads,97.3712,OUT010,1998,,Tier 3,Grocery Store,216.262
FDI34,6.346,low fat,0.100486,Breads,97.3712,OUT013,1987,High,Tier 3,Supermarket Type1,1512.9252
FDI34,6.346,low fat,0.163352,Breads,97.3712,OUT017,2007,,Tier 2,Supermarket Type1,1599.5478
FDI34,6.346,low fat,0.147531,Breads,97.3712,OUT018,2009,Medium,Tier 3,Supermarket Type2,1476.7157
FDI34,6.346,low fat,0.098549,Breads,97.3712,OUT035,2004,Small,Tier 2,Supermarket Type1,915.0825
FDI34,6.346,low fat,0.137066,Breads,97.3712,OUT045,2002,,Tier 2,Supermarket Type1,810.1708
FDI34,6.346,low fat,0.147575,Breads,97.3712,OUT046,1997,Small,Tier 1,Supermarket Type1,792.3848
FDI34,6.346,low fat,0.126692,Breads,97.3712,OUT049,1999,Medium,Tier 1,Supermarket Type1,1146.8746
DRJ35,16.859,reg,0.13124,Hard Drinks,56.4269,OUT010,1998,,Tier 3,Grocery Store,161.4982
DRJ35,16.859,reg,0.0,Hard Drinks,56.4269,OUT017,2007,,Tier 2,Supermarket Type1,790.7512
DRJ35,,reg,0.198658,Hard Drinks,56.4269,OUT019,1985,Small,Tier 1,Grocery Store,251.2415
DRJ35,16.859,reg,0.189231,Hard Drinks,56.4269,OUT027,1985,Medium,Tier 3,Supermarket Type3,1025.8734
DRJ35,16.859,reg,0.22188,Hard Drinks,56.4269,OUT045,2002,,Tier 2,Supermarket Type1,722.1506
DRJ35,16.859,reg,0.0,Hard Drinks,56.4269,OUT046,1997,Small,Tier 1,Supermarket Type1,984.8845
DRJ35,16.859,reg,0.138845,Hard Drinks,56.4269,OUT049,1999,Medium,Tier 1,Supermarket Type1,976.2449
NCK36,5.136,Low Fat,0.1434,Household,118.5377,OUT010,1998,,Tier 3,Grocery Store,491.7924
NCK36,5.136,Low Fat,0.156583,Household,118.5377,OUT017,2007,,Tier 2,Supermarket Type1,2105.8543
NCK36,5.136,Low Fat,0.120488,Household,118.5377,OUT018,2009,Medium,Tier 3,Supermarket Type2,1067.035
NCK36,5.136,Low Fat,0.143867,Household,118.5377,OUT027,1985,Medium,Tier 3,Supermarket Type3,2178.9328
NCK36,5.136,Low Fat,0.153707,Household,118.5377,OUT035,2004,Small,Tier 2,Supermarket Type1,1626.2787
NCK36,,Low Fat,0.0,Household,118.5377,OUT045,2002,,Tier 2,Supermarket Type1,1534.5893
NCK36,5.136,Low Fat,0.130515,Household,118.5377,OUT049,1999,Medium,Tier 1,Supermarket Type1,2058.89
FDL37,,reg,0.073639,Fruits and Vegetables,255.8843,OUT010,1998,,Tier 3,Grocery Store,730.2543
FDL37,,reg,0.066577,Fruits and Vegetables,255.8843,OUT013,1987,High,Tier 3,Supermarket Type1,3615.9251
FDL37,18.24,reg,0.0,Fruits and Vegetables,255.8843,OUT017,2007,,Tier 2,Supermarket Type1,2324.0677
FDL37,,reg,0.060777,Fruits and Vegetables,255.8843,OUT045,2002,,Tier 2,Supermarket Type1,2886.1801
DRM38,8.851,low fat,0.023991,Hard Drinks,69.8474,OUT010,1998,,Tier 3,Grocery Store,227.7408
DRM38,8.851,low fat,0.021579,Hard Drinks,69.8474,OUT013,1987,High,Tier 3,Supermarket Type1,1148.4815
DRM38,8.851,low fat,0.021501,Hard Drinks,69.8474,OUT017,2007,,Tier 2,Supermarket Type1,774.2302
DRM38,,low fat,0.021536,Hard Drinks,69.8474,OUT019,1985,Small,Tier 1,Grocery Store,254.2846
DRM38,,low fat,0.02186,Hard Drinks,69.8474,OUT027,1985,Medium,Tier 3,Supermarket Type3,1851.6382
DRM38,8.851,low fat,0.013445,Hard Drinks,69.8474,OUT045,2002,,Tier 2,Supermarket Type1,744.0239
DRM38,8.851,low fat,0.022752,Hard Drinks,69.8474,OUT046,1997,Small,Tier 1,Supermarket Type1,1183.0355
DRM38,8.851,low fat,0.018561,Hard Drinks,69.8474,OUT049,1999,Medium,Tier 1,Supermarket Type1,738.5471
NCN39,11.897,reg,0.158245,Others,241.4358,OUT013,1987,High,Tier 3,Supermarket Type1,3920.7058
NCN39,,reg,0.178242,Others,241.4358,OUT017,2007,,Tier 2,Supermarket Type1,3955.0481
NCN39,11.897,reg,0.122091,Others,241.4358,OUT018,2009,Medium,Tier 3,Supermarket Type2,3007.6767
NCN39,,reg,0.117086,Others,241.4358,OUT019,1985,Small,Tier 1,Grocery Store,918.0841
NCN39,11.897,reg,0.18109,Others,241.4358,OUT027,1985,Medium,Tier 3,Supermarket Type3,5069.1589
NCN39,11.897,reg,0.117405,Others,241.4358,OUT035,2004,Small,Tier 2,Supermarket Type1,4091.6815
NCN39,,reg,0.16024,Others,241.4358,OUT045,2002,,Tier 2,Supermarket Type1,3000.2165
NCN39,11.897,reg,0.148157,Others,241.4358,OUT049,1999,Medium,Tier 1,Supermarket Type1,3096.1148
NCO40,19.689,reg,0.198751,Household,105.5593,OUT017,2007,,Tier 2,Supermarket Type1,1219.384
NCO40,19.689,reg,0.127544,Household,105.5593,OUT018,2009,Medium,Tier 3,Supermarket Type2,1000.6777
NCO40,19.689,reg,0.141548,Household,105.5593,OUT035,2004,Small,Tier 2,Supermarket Type1,943.7225
NCO40,19.689,reg,0.192055,Household,105.5593,OUT045,2002,,Tier 2,Supermarket Type1,1182.4341
NCO40,19.689,reg,0.137586,Household,105.5593,OUT046,1997,Small,Tier 1,Supermarket Type1,1233.8598
NCO40,19.689,reg,0.128194,Household,105.5593,OUT049,1999,Medium,Tier 1,Supermarket Type1,1506.2809
FDP41,15.748,LF,0.15498,Fruits and Vegetables,53.2941,OUT010,1998,,Tier 3,Grocery Store,157.0668
FDP41,,LF,0.153893,Fruits and Vegetables,53.2941,OUT013,1987,High,Tier 3,Supermarket Type1,849.3335
FDP41,,LF,0.169964,Fruits and Vegetables,53.2941,OUT017,2007,,Tier 2,Supermarket Type1,670.6403
FDP41,15.748,LF,0.117857,Fruits and Vegetables,53.2941,OUT018,2009,Medium,Tier 3,Supermarket Type2,627.2232
FDP41,15.748,LF,0.163642,Fruits and Vegetables,53.2941,OUT019,1985,Small,Tier 1,Grocery Store,207.1236
FDP41,15.748,LF,0.109643,Fruits and Vegetables,53.2941,OUT027,1985,Medium,Tier 3,Supermarket Type3,866.5785
FDP41,15.748,LF,0.14462,Fruits and Vegetables,53.2941,OUT035,2004,Small,Tier 2,Supermarket Type1,607.0324
FDP41,15.748,LF,0.175969,Fruits and Vegetables,53.2941,OUT049,1999,Medium,Tier 1,Supermarket Type1,582.1376
FDQ42,,Low Fat,0.179046,Canned,59.9709,OUT010,1998,,Tier 3,Grocery Store,164.7888
FDQ42,20.426,Low Fat,0.0,Canned,59.9709,OUT013,1987,High,Tier 3,Supermarket Type1,917.252
FDQ42,20.426,Low Fat,0.165054,Canned,59.9709,OUT017,2007,,Tier 2,Supermarket Type1,741.3221
FDQ42,20.426,Low Fat,0.160975,Canned,59.9709,OUT018,2009,Medium,Tier 3,Supermarket Type2,916.5401
FDQ42,20.426,Low Fat,0.135744,Canned,59.9709,OUT027,1985,Medium,Tier 3,Supermarket Type3,1043.4678
FDQ42,,Low Fat,0.167538,Canned,59.9709,OUT035,2004,Small,Tier 2,Supermarket Type1,499.3132
FDQ42,20.426,Low Fat,0.125626,Canned,59.9709,OUT045,2002,,Tier 2,Supermarket Type1,1071.0981
FDQ42,20.426,Low Fat,0.16771,Canned,59.9709,OUT049,1999,Medium,Tier 1,Supermarket Type1,705.6987
FDR43,7.106,Regular,0.196225,Snack Foods,172.4543,OUT013,1987,High,Tier 3,Supermarket Type1,2016.9765
FDR43,7.106,Regular,0.153765,Snack Foods,172.4543,OUT027,1985,Medium,Tier 3,Supermarket Type3,2390.6257
FDR43,7.106,Regular,0.0,Snack Foods,172.4543,OUT035,2004,Small,Tier 2,Supermarket Type1,1476.7069
FDR43,7.106,Regular,0.168371,Snack Foods,172.4543,OUT046,1997,Small,Tier 1,Supermarket Type1,2222.7605
FDR43,7.106,Regular,0.139185,Snack Foods,172.4543,OUT049,1999,Medium,Tier 1,Supermarket Type1,1468.8791
FDS44,9.776,Low Fat,0.115563,Canned,260.351,OUT010,1998,,Tier 3,Grocery Store,692.0893
FDS44,9.776,Low Fat,0.106494,Canned,260.351,OUT013,1987,High,Tier 3,Supermarket Type1,2933.8911
FDS44,,Low Fat,0.083058,Canned,260.351,OUT018,2009,Medium,Tier 3,Supermarket Type2,3285.3887
FDS44,,Low Fat,0.127073,Canned,260.351,OUT019,1985,Small,Tier 1,Grocery Store,618.7245
FDS44,,Low Fat,0.0,Canned,260.351,OUT035,2004,Small,Tier 2,Supermarket Type1,4030.4182
FDS44,9.776,Low Fat,0.121295,Canned,260.351,OUT045,2002,,Tier 2,Supermarket Type1,2111.2767
FDS44,9.776,Low Fat,0.08985,Canned,260.351,OUT046,1997,Small,Tier 1,Supermarket Type1,2405.4503
FDS44,9.776,Low Fat,0.123579,Canned,260.351,OUT049,1999,Medium,Tier 1,Supermarket Type1,4406.5487
DRT45,6.946,reg,0.030786,Soft Drinks,85.1988,OUT013,1987,High,Tier 3,Supermarket Type1,1475.5958
DRT45,,reg,0.033299,Soft Drinks,85.1988,OUT017,2007,,Tier 2,Supermarket Type1,1096.6069
DRT45,6.946,reg,0.025949,Soft Drinks,85.1988,OUT019,1985,Small,Tier 1,Grocery Store,196.7759
DRT45,,reg,0.026571,Soft Drinks,85.1988,OUT027,1985,Medium,Tier 3,Supermarket Type3,2079.8063
DRT45,6.946,reg,0.037814,Soft Drinks,85.1988,OUT035,2004,Small,Tier 2,Supermarket Type1,1387.205
DRT45,6.946,reg,0.031313,Soft Drinks,85.1988,OUT045,2002,,Tier 2,Supermarket Type1,1496.9187
DRT45,,reg,0.033724,Soft Drinks,85.1988,OUT046,1997,Small,Tier 1,Supermarket Type1,1531.591
FDU46,6.571,Regular,0.119067,Fruits and Vegetables,194.8459,OUT010,1998,,Tier 3,Grocery Store,413.5965
FDU46,6.571,Regular,0.126567,Fruits and Vegetables,194.8459,OUT013,1987,High,Tier 3,Supermarket Type1,2962.0786
FDU46,,Regular,0.129426,Fruits and Vegetables,194.8459,OUT017,2007,,Tier 2,Supermarket Type1,2739.9161
FDU46,6.571,Regular,0.147359,Fruits and Vegetables,194.8459,OUT019,1985,Small,Tier 1,Grocery Store,433.7309
FDU46,6.571,Regular,0.144069,Fruits and Vegetables,194.8459,OUT035,2004,Small,Tier 2,Supermarket Type1,2711.013
FDU46,6.571,Regular,0.146718,Fruits and Vegetables,194.8459,OUT045,2002,,Tier 2,Supermarket Type1,2571.4859
FDV47,,Regular,0.190488,Meat,199.8361,OUT013,1987,High,Tier 3,Supermarket Type1,2067.9842
FDV47,7.896,Regular,0.1789,Meat,199.8361,OUT017,2007,,Tier 2,Supermarket Type1,3142.4343
FDV47,7.896,Regular,0.191838,Meat,199.8361,OUT019,1985,Small,Tier 1,Grocery Store,425.1234
FDV47,7.896,Regular,0.152405,Meat,199.8361,OUT027,1985,Medium,Tier 3,Supermarket Type3,3234.9183
FDV47,7.896,Regular,0.108342,Meat,199.8361,OUT035,2004,Small,Tier 2,Supermarket Type1,3498.1235
FDV47,7.896,Regular,0.189849,Meat,199.8361,OUT049,1999,Medium,Tier 1,Supermarket Type1,2882.2709
NCW48,6.604,Low Fat,0.051841,Health and Hygiene,124.8285,OUT010,1998,,Tier 3,Grocery Store,322.286
NCW48,6.604,Low Fat,0.055698,Health and Hygiene,124.8285,OUT018,2009,Medium,Tier 3,Supermarket Type2,1531.6265
NCW48,6.604,Low Fat,0.083795,Health and Hygiene,124.8285,OUT019,1985,Small,Tier 1,Grocery Store,534.7134
NCW48,6.604,Low Fat,0.072472,Health and Hygiene,124.8285,OUT027,1985,Medium,Tier 3,Supermarket Type3,2874.4761
NCW48,,Low Fat,0.070631,Health and Hygiene,124.8285,OUT045,2002,,Tier 2,Supermarket Type1,1469.5833
NCW48,6.604,Low Fat,0.06747,Health and Hygiene,124.8285,OUT046,1997,Small,Tier 1,Supermarket Type1,1422.6917
NCW48,6.604,Low Fat,0.062153,Health and Hygiene,124.8285,OUT049,1999,Medium,Tier 1,Supermarket Type1,1214.4906
NCX49,12.806,low fat,0.064397,Health and Hygiene,256.5271,OUT013,1987,High,Tier 3,Supermarket Type1,4489.2288
NCX49,,low fat,0.046065,Health and Hygiene,256.5271,OUT017,2007,,Tier 2,Supermarket Type1,3241.7836
NCX49,12.806,low fat,0.071317,Health and Hygiene,256.5271,OUT018,2009,Medium,Tier 3,Supermarket Type2,3039.6334
NCX49,12.806,low fat,0.046692,Health and Hygiene,256.5271,OUT019,1985,Small,Tier 1,Grocery Store,933.1147
NCX49,12.806,low fat,0.074127,Health and Hygiene,256.5271,OUT035,2004,Small,Tier 2,Supermarket Type1,3450.8151
NCX49,,low fat,0.078301,Health and Hygiene,256.5271,OUT045,2002,,Tier 2,Supermarket Type1,4428.1251
NCX49,12.806,low fat,0.048064,Health and Hygiene,256.5271,OUT046,1997,Small,Tier 1,Supermarket Type1,2062.2063
NCX49,12.806,low fat,0.051514,Health and Hygiene,256.5271,OUT049,1999,Medium,Tier 1,Supermarket Type1,3084.4072
NCY50,4.923,reg,0.032878,Health and Hygiene,180.6181,OUT010,1998,,Tier 3,Grocery Store,494.6185
NCY50,4.923,reg,0.038118,Health and Hygiene,180.6181,OUT017,2007,,Tier 2,Supermarket Type1,2187.6522
NCY50,4.923,reg,0.0,Health and Hygiene,180.6181,OUT018,2009,Medium,Tier 3,Supermarket Type2,1534.7868
NCY50,4.923,reg,0.027432,Health and Hygiene,180.6181,OUT027,1985,Medium,Tier 3,Supermarket Type3,4679.4809
NCY50,4.923,reg,0.025984,Health and Hygiene,180.6181,OUT035,2004,Small,Tier 2,Supermarket Type1,1801.6331
NCY50,4.923,reg,0.037388,Health and Hygiene,180.6181,OUT045,2002,,Tier 2,Supermarket Type1,3178.1493
NCY50,4.923,reg,0.031407,Health and Hygiene,180.6181,OUT046,1997,Small,Tier 1,Supermarket Type1,2457.0815
FDZ51,6.886,Regular,0.151923,Fruits and Vegetables,259.0307,OUT017,2007,,Tier 2,Supermarket Type1,3421.7324
FDZ51,6.886,Regular,0.101749,Fruits and Vegetables,259.0307,OUT018,2009,Medium,Tier 3,Supermarket Type2,2327.5065
FDZ51,6.886,Regular,0.128785,Fruits and Vegetables,259.0307,OUT019,1985,Small,Tier 1,Grocery Store,706.5388
FDZ51,6.886,Regular,0.14534,Fruits and Vegetables,259.0307,OUT027,1985,Medium,Tier 3,Supermarket Type3,6823.2541
FDZ51,6.886,Regular,0.146462,Fruits and Vegetables,259.0307,OUT035,2004,Small,Tier 2,Supermarket Type1,3245.3184
FDZ51,6.886,Regular,0.128089,Fruits and Vegetables,259.0307,OUT045,2002,,Tier 2,Supermarket Type1,2657.0727
FDZ51,6.886,Regular,0.115416,Fruits and Vegetables,259.0307,OUT046,1997,Small,Tier 1,Supermarket Type1,3345.6673
FDZ51,6.886,Regular,0.091459,Fruits and Vegetables,259.0307,OUT049,1999,Medium,Tier 1,Supermarket Type1,3282.6271
FDA52,18.174,reg,0.012575,Frozen Foods,216.2042,OUT010,1998,,Tier 3,Grocery Store,746.985
FDA52,18.174,reg,0.015942,Frozen Foods,216.2042,OUT013,1987,High,Tier 3,Supermarket Type1,2467.7082
FDA52,18.174,reg,0.010605,Frozen Foods,216.2042,OUT017,2007,,Tier 2,Supermarket Type1,2346.4901
FDA52,18.174,reg,0.011422,Frozen Foods,216.2042,OUT019,1985,Small,Tier 1,Grocery Store,945.1618
FDA52,18.174,reg,0.017301,Frozen Foods,216.2042,OUT027,1985,Medium,Tier 3,Supermarket Type3,3341.1887
FDA52,18.174,reg,0.016367,Frozen Foods,216.2042,OUT045,2002,,Tier 2,Supermarket Type1,2881.4408
FDA52,18.174,reg,0.015072,Frozen Foods,216.2042,OUT046,1997,Small,Tier 1,Supermarket Type1,3659.2222
FDB53,,Low Fat,0.069551,Meat,219.0488,OUT010,1998,,Tier 3,Grocery Store,574.8226
FDB53,,Low Fat,0.045304,Meat,219.0488,OUT013,1987,High,Tier 3,Supermarket Type1,3922.8847
FDB53,6.355,Low Fat,0.054601,Meat,219.0488,OUT017,2007,,Tier 2,Supermarket Type1,2530.6303
FDB53,6.355,Low Fat,0.063461,Meat,219.0488,OUT019,1985,Small,Tier 1,Grocery Store,653.5633
FDB53,6.355,Low Fat,0.048806,Meat,219.0488,OUT045,2002,,Tier 2,Supermarket Type1,2760.097
FDB53,6.355,Low Fat,0.060924,Meat,219.0488,OUT046,1997,Small,Tier 1,Supermarket Type1,1956.3453
FDC54,14.802,low fat,0.080994,Canned,173.3333,OUT010,1998,,Tier 3,Grocery Store,436.0515
FDC54,14.802,low fat,0.063619,Canned,173.3333,OUT013,1987,High,Tier 3,Supermarket Type1,2641.6207
FDC54,14.802,low fat,0.104167,Canned,173.3333,OUT018,2009,Medium,Tier 3,Supermarket Type2,2337.5481
FDC54,14.802,low fat,0.096491,Canned,173.3333,OUT019,1985,Small,Tier 1,Grocery Store,390.2261
FDC54,14.802,low fat,0.085486,Canned,173.3333,OUT035,2004,Small,Tier 2,Supermarket Type1,2844.6076
FDC54,14.802,low fat,0.0,Canned,173.3333,OUT046,1997,Small,Tier 1,Supermarket Type1,2693.7565
FDC54,,low fat,0.089134,Canned,173.3333,OUT049,1999,Medium,Tier 1,Supermarket Type1,1621.05
NCD55,10.861,reg,0.159237,Health and Hygiene,184.8557,OUT013,1987,High,Tier 3,Supermarket Type1,2757.8346
NCD55,,reg,0.220448,Health and Hygiene,184.8557,OUT017,2007,,Tier 2,Supermarket Type1,3023.9859
NCD55,10.861,reg,0.226058,Health and Hygiene,184.8557,OUT018,2009,Medium,Tier 3,Supermarket Type2,2295.35
NCD55,10.861,reg,0.19365,Health and Hygiene,184.8557,OUT019,1985,Small,Tier 1,Grocery Store,831.032
NCD55,10.861,reg,0.134861,Health and Hygiene,184.8557,OUT035,2004,Small,Tier 2,Supermarket Type1,2086.614
FDE56,8.713,LF,0.0,Snack Foods,207.0594,OUT010,1998,,Tier 3,Grocery Store,428.7643
FDE56,8.713,LF,0.158668,Snack Foods,207.0594,OUT017,2007,,Tier 2,Supermarket Type1,2252.4108
FDE56,8.713,LF,0.212786,Snack Foods,207.0594,OUT019,1985,Small,Tier 1,Grocery Store,654.9353
FDE56,8.713,LF,0.188568,Snack Foods,207.0594,OUT027,1985,Medium,Tier 3,Supermarket Type3,4145.2142
FDE56,8.713,LF,0.183365,Snack Foods,207.0594,OUT035,2004,Small,Tier 2,Supermarket Type1,3002.004
FDE56,8.713,LF,0.120128,Snack Foods,207.0594,OUT045,2002,,Tier 2,Supermarket Type1,2553.0387
FDF57,6.29,reg,0.031712,Dairy,171.2863,OUT010,1998,,Tier 3,Grocery Store,671.2314
FDF57,6.29,reg,0.036216,Dairy,171.2863,OUT013,1987,High,Tier 3,Supermarket Type1,1919.84
FDF57,6.29,reg,0.041419,Dairy,171.2863,OUT017,2007,,Tier 2,Supermarket Type1,2651.1517
FDF57,6.29,reg,0.038346,Dairy,171.2863,OUT018,2009,Medium,Tier 3,Supermarket Type2,1393.9711
FDF57,6.29,reg,0.039063,Dairy,171.2863,OUT027,1985,Medium,Tier 3,Supermarket Type3,2291.7349
FDF57,6.29,reg,0.0269,Dairy,171.2863,OUT035,2004,Small,Tier 2,Supermarket Type1,1573.2394
FDF57,,reg,0.0,Dairy,171.2863,OUT046,1997,Small,Tier 1,Supermarket Type1,1647.5504
FDF57,,reg,0.033899,Dairy,171.2863,OUT049,1999,Medium,Tier 1,Supermarket Type1,1750.2433
FDG58,9.776,Regular,0.031709,Canned,248.349,OUT010,1998,,Tier 3,Grocery Store,587.6849
FDG58,9.776,Regular,0.044194,Canned,248.349,OUT013,1987,High,Tier 3,Supermarket Type1,2206.4288
FDG58,,Regular,0.039463,Canned,248.349,OUT018,2009,Medium,Tier 3,Supermarket Type2,3869.5729
FDG58,,Regular,0.038445,Canned,248.349,OUT019,1985,Small,Tier 1,Grocery Store,1097.6447
FDG58,9.776,Regular,0.043138,Canned,248.349,OUT027,1985,Medium,Tier 3,Supermarket Type3,3771.6631
FDG58,9.776,Regular,0.040363,Canned,248.349,OUT035,2004,Small,Tier 2,Supermarket Type1,2593.0593
FDG58,9.776,Regular,0.0,Canned,248.349,OUT046,1997,Small,Tier 1,Supermarket Type1,2386.7473
FDH59,9.34,low fat,0.015566,Snack Foods,58.2557,OUT010,1998,,Tier 3,Grocery Store,169.6966
FDH59,9.34,low fat,0.011559,Snack Foods,58.2557,OUT013,1987,High,Tier 3,Supermarket Type1,979.8068
FDH59,,low fat,0.012517,Snack Foods,58.2557,OUT017,2007,,Tier 2,Supermarket Type1,608.5548
FDH59,9.34,low fat,0.011684,Snack Foods,58.2557,OUT018,2009,Medium,Tier 3,Supermarket Type2,507.8618
FDH59,9.34,low fat,0.012541,Snack Foods,58.2557,OUT019,1985,Small,Tier 1,Grocery Store,255.9891
FDH59,9.34,low fat,0.011057,Snack Foods,58.2557,OUT035,2004,Small,Tier 2,Supermarket Type1,767.7394
DRI60,7.469,Low Fat,0.164187,Hard Drinks,170.5099,OUT010,1998,,Tier 3,Grocery Store,383.9719
DRI60,7.469,Low Fat,0.124326,Hard Drinks,170.5099,OUT017,2007,,Tier 2,Supermarket Type1,2342.5423
DRI60,7.469,Low Fat,0.151944,Hard Drinks,170.5099,OUT018,2009,Medium,Tier 3,Supermarket Type2,2655.7511
DRI60,7.469,Low Fat,0.152202,Hard Drinks,170.5099,OUT019,1985,Small,Tier 1,Grocery Store,646.2883
DRI60,,Low Fat,0.120794,Hard Drinks,170.5099,OUT027,1985,Medium,Tier 3,Supermarket Type3,3836.4744
DRI60,7.469,Low Fat,0.11094,Hard Drinks,170.5099,OUT046,1997,Small,Tier 1,Supermarket Type1,2712.5825
DRI60,7.469,Low Fat,0.143428,Hard Drinks,170.5099,OUT049,1999,Medium,Tier 1,Supermarket Type1,2170.3987
FDJ61,11.192,Regular,0.133748,Fruits and Vegetables,150.0682,OUT013,1987,High,Tier 3,Supermarket Type1,2092.0948
FDJ61,,Regular,0.13231,Fruits and Vegetables,150.0682,OUT017,2007,,Tier 2,Supermarket Type1,2085.9258
FDJ61,11.192,Regular,0.154354,Fruits and Vegetables,150.0682,OUT019,1985,Small,Tier 1,Grocery Store,586.0437
FDJ61,11.192,Regular,0.223643,Fruits and Vegetables,150.0682,OUT035,2004,Small,Tier 2,Supermarket Type1,1690.012
FDJ61,11.192,Regular,0.201878,Fruits and Vegetables,150.0682,OUT045,2002,,Tier 2,Supermarket Type1,2057.0307
DRK62,,Regular,0.06091,Soft Drinks,86.8718,OUT010,1998,,Tier 3,Grocery Store,345.295
DRK62,5.239,Regular,0.06448,Soft Drinks,86.8718,OUT018,2009,Medium,Tier 3,Supermarket Type2,629.3744
DRK62,5.239,Regular,0.053242,Soft Drinks,86.8718,OUT019,1985,Small,Tier 1,Grocery Store,339.826
DRK62,5.239,Regular,0.073752,Soft Drinks,86.8718,OUT027,1985,Medium,Tier 3,Supermarket Type3,2005.0371
DRK62,5.239,Regular,0.043527,Soft Drinks,86.8718,OUT045,2002,,Tier 2,Supermarket Type1,1375.04
DRK62,5.239,Regular,0.061424,Soft Drinks,86.8718,OUT046,1997,Small,Tier 1,Supermarket Type1,882.2446
DRK62,5.239,Regular,0.055383,Soft Drinks,86.8718,OUT049,1999,Medium,Tier 1,Supermarket Type1,1461.8868
FDL63,14.211,reg,0.076599,Fruits and Vegetables,42.624,OUT010,1998,,Tier 3,Grocery Store,163.2102
FDL63,14.211,reg,0.09633,Fruits and Vegetables,42.624,OUT017,2007,,Tier 2,Supermarket Type1,711.4337
FDL63,14.211,reg,0.086378,Fruits and Vegetables,42.624,OUT018,2009,Medium,Tier 3,Supermarket Type2,409.4332
FDL63,14.211,reg,0.094637,Fruits and Vegetables,42.624,OUT027,1985,Medium,Tier 3,Supermarket Type3,761.2819
FDL63,14.211,reg,0.083261,Fruits and Vegetables,42.624,OUT035,2004,Small,Tier 2,Supermarket Type1,713.8766
FDL63,,reg,0.103562,Fruits and Vegetables,42.624,OUT045,2002,,Tier 2,Supermarket Type1,361.2271
FDL63,14.211,reg,0.069212,Fruits and Vegetables,42.624,OUT046,1997,Small,Tier 1,Supermarket Type1,747.2856
FDL63,14.211,reg,0.093661,Fruits and Vegetables,42.624,OUT049,1999,Medium,Tier 1,Supermarket Type1,629.1383
NCM64,6.228,low fat,0.150807,Household,43.263,OUT010,1998,,Tier 3,Grocery Store,119.1672
NCM64,,low fat,0.203153,Household,43.263,OUT013,1987,High,Tier 3,Supermarket Type1,619.7192
NCM64,6.228,low fat,0.160159,Household,43.263,OUT017,2007,,Tier 2,Supermarket Type1,416.2679
NCM64,6.228,low fat,0.180614,Household,43.263,OUT018,2009,Medium,Tier 3,Supermarket Type2,386.6444
NCM64,,low fat,0.23519,Household,43.263,OUT027,1985,Medium,Tier 3,Supermarket Type3,1177.5187
NCM64,6.228,low fat,0.214806,Household,43.263,OUT045,2002,,Tier 2,Supermarket Type1,370.685
NCM64,,low fat,0.163805,Household,43.263,OUT046,1997,Small,Tier 1,Supermarket Type1,777.0103
NCM64,6.228,low fat,0.201264,Household,43.263,OUT049,1999,Medium,Tier 1,Supermarket Type1,654.0142
NCN65,6.185,Regular,0.178922,Others,244.0261,OUT017,2007,,Tier 2,Supermarket Type1,2406.4359
NCN65,,Regular,0.174008,Others,244.0261,OUT027,1985,Medium,Tier 3,Supermarket Type3,6888.8256
NCN65,6.185,Regular,0.20798,Others,244.0261,OUT035,2004,Small,Tier 2,Supermarket Type1,2186.9399
NCN65,6.185,Regular,0.253376,Others,244.0261,OUT046,1997,Small,Tier 1,Supermarket Type1,3686.6525
NCN65,,Regular,0.142011,Others,244.0261,OUT049,1999,Medium,Tier 1,Supermarket Type1,2842.119
